County,Solds,Ave List Price,Ave Sold Price,
Paulding,136,"$375,319","$369,422",
Peach,13,"$244,392","$240,400",
Pickens,28,"$565,625","$523,338",
Pierce,1,"$169,000","$166,000",
Pike,9,"$455,457","$450,949",
Polk,28,"$231,824","$225,260",
Pulaski,0,$0,$0,
Putnam,14,"$766,424","$704,142",
Quitman,0,$0,$0,
Rabun,26,"$692,323","$646,404",
Randolph,3,"$371,667","$372,833",
Randolph (AL),2,"$167,500","$167,500",
Richmond,6,"$269,667","$270,917",
Rockdale,80,"$357,168","$350,974",
Russell (AL),1,"$475,000","$475,000",
Sc Counties,8,"$830,200","$785,413",
Schley,2,"$1,242,500","$1,168,500",
Screven,3,"$191,000","$180,667",
Spalding,64,"$290,689","$287,117",
Stephens,20,"$297,285","$292,355",
Stewart,0,$0,$0,
Sumter,3,"$60,433","$87,417",
Talbot,0,$0,$0,
Taliaferro,2,"$184,750","$161,500",
Talladega (AL),0,$0,$0,
Tattnall,9,"$316,556","$301,778",
Taylor,1,"$159,900","$162,400",
Telfair,4,"$126,750","$123,750",
Terrell,0,$0,$0,
Thomas,1,"$399,000","$408,000",
Tift,1,"$171,500","$175,500",
Tn Counties,0,$0,$0,
Toombs,5,"$240,560","$213,600",
Towns,8,"$445,825","$417,088",
Treutlen,0,$0,$0,
Troup,54,"$256,358","$255,616",
Turner,0,$0,$0,
Twiggs,0,$0,$0,
Union,17,"$568,594","$535,176",
Upson,16,"$192,691","$185,222",
Walker,10,"$261,410","$262,960",
Walton,88,"$444,156","$437,692",
Ware,5,"$205,160","$199,530",
Warren,0,$0,$0,
Washington,8,"$232,350","$224,362",
Wayne,6,"$272,133","$261,917",
Wheeler,2,"$88,450","$82,500",
White,23,"$361,083","$348,163",
Whitfield,3,"$170,500","$170,667",
Wilcox,0,$0,$0,
Wilkes,0,$0,$0,
Wilkinson,4,"$117,725","$104,725",
Worth,2,"$185,000","$172,500",
